Unnamed: 0,accountingchange,amended,audited,capitalexpenditures,cashandcashequivalents,cashcashequivalentsandshortterminvestments,cashfromfinancingactivities,cashfrominvestingactivities,cashfromoperatingactivities,cfdepreciationamortization,changeinaccountsreceivable,changeincurrentassets,changeincurrentliabilities,changeininventories,commonstock,company_cik,company_symbol,costofrevenue,created_at,crosscalculated,currencycode,dcn,deferredcharges,discontinuedoperations,dividendspaid,ebit,effectofexchangerateoncash,equityearnings,extraordinaryitems,goodwill,grossprofit,incomebeforetaxes,intangibleassets,interestexpense,inventoriesnet,investmentchangesnet,minorityinterest,name,netchangeincash,netincome,netincomeapplicabletocommon,original,otherassets,othercurrentassets,othercurrentliabilities,otherequity,otherliabilities,period,periodenddate,periodlength,periodlengthcode,preferredstock,preliminary,propertyplantequipmentnet,quarter,receiveddate,researchdevelopmentexpense,restated,retainedearnings,sellinggeneraladministrativeexpenses,totaladjustments,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totallongtermdebt,totalreceivablesnet,totalrevenue,totalshorttermdebt,totalstockholdersequity,treasurystock,updated_at,usdconversionrate,year,Sector
0,,FALSE,TRUE,-62830000,287119000,287119000,-230055000,-88641000,340698000,49681000,-134917000,-134917000,88099000,,135000,315213,RHI,2772098000,02:26.3,FALSE,USD,0001628280-15-000736,,,-97604000,496625000,-10647000,,,199488000,1922916000,497349000,0,,,,,10-K,11355000,305928000,305928000,TRUE,2742000,245337000,,,42888000,ann,12/31/2014,12,m,0,FALSE,121754000,4,2/13/2015,,FALSE,36836000,1425734000,34770000,1647267000,1323283000,623362000,667409000,1159000,657676000,4695014000,140000,979858000,,02:26.3,1,2014,Industrials
1,,FALSE,TRUE,-53725000,275764000,275764000,-220270000,-97777000,309217000,48772000,-47699000,-47699000,26429000,,137000,315213,RHI,2522803000,02:26.3,FALSE,USD,0001628280-15-000736,,,-89187000,396577000,-3041000,,,200833000,1723092000,397579000,556000,,,,,10-K,-11871000,252195000,252195000,FALSE,3710000,231978000,,,33475000,ann,12/31/2013,12,m,0,FALSE,112644000,4,2/13/2015,,FALSE,13315000,1324815000,57022000,1490271000,1172528000,535853000,570628000,1300000,551905000,4245895000,128000,919643000,,02:26.3,1,2013,Industrials
2,,FALSE,TRUE,-50056000,287635000,287635000,-209616000,-73026000,289177000,48724000,-21354000,-21354000,31832000,,139000,315213,RHI,2462153000,02:26.3,FALSE,USD,0001628280-15-000736,,,-84129000,343048000,1764000,,,201339000,1649060000,344245000,2256000,,,,,10-K,8299000,209942000,209942000,FALSE,5311000,161205000,,,36195000,ann,12/31/2012,12,m,0,FALSE,107680000,4,2/13/2015,,FALSE,0,1305614000,79235000,1381271000,1064685000,501637000,539260000,1428000,512852000,4111213000,117000,842011000,,02:26.3,1,2012,Industrials
3,,FALSE,TRUE,-56535000,279336000,279336000,-225977000,-63402000,256316000,51415000,-81314000,-81314000,71300000,,142000,315213,RHI,2287374000,02:26.3,FALSE,USD,0001193125-14-054441,,,-80303000,249265000,-2738000,,,189423000,1489602000,250216000,50000,,,,,10-K,-35801000,149922000,149922000,FALSE,7713000,145437000,,,36785000,ann,12/31/2011,12,m,0,FALSE,107972000,4,2/14/2014,,FALSE,0,1240184000,106394000,1311836000,1006678000,473001000,511331000,1545000,493327000,3776976000,111000,800505000,,02:26.3,1,2011,Industrials
0,,FALSE,TRUE,-45648000,1047473000,1262727000,148240000,-325003000,622795000,93804000,-121536000,-162277000,353733000,,23000,1087423,RHT,273199000,54:22.4,FALSE,USD,0001193125-15-153023,,,,249994000,-45301000,,,927060000,1516290000,255498000,134276000,-9394000,,11607000,,10-K,400731000,180201000,180201000,TRUE,53243000,1980000,1844000,,77340000,ann,2/28/2015,12,m,0,FALSE,172151000,4,4/28/2015,367856000,FALSE,900373000,898440000,442594000,3802985000,1970239000,1334692000,2514647000,715402000,468021000,1789489000,,1288338000,-1515288000,54:22.4,1,2015,Technology
1,,FALSE,TRUE,-79587000,646742000,982129000,-263110000,-108262000,540580000,83102000,-61785000,-86907000,233793000,,23000,1087423,RHT,232600000,02:26.3,FALSE,USD,0001193125-14-157171,,,,232289000,-9550000,,,687430000,1302015000,239548000,133399000,,,-8619000,,10-K,159658000,178292000,178292000,TRUE,35391000,1808000,1786000,,85003000,ann,2/28/2014,12,m,0,FALSE,173917000,4,4/24/2014,317263000,FALSE,720172000,750292000,362288000,3106619000,1571182000,1148086000,1555454000,,360594000,1534615000,,1551165000,-1056419000,02:26.3,1,2014,Technology
2,,FALSE,TRUE,-85671000,487084000,879465000,-125965000,-389049000,465297000,69230000,-46913000,-61639000,202770000,,23000,1087423,RHT,200600000,02:26.3,FALSE,USD,0001193125-14-157171,,,,201038000,-12416000,,,690911000,1128217000,209752000,142243000,,,-134127000,,10-K,-62133000,150204000,150204000,FALSE,31263000,3156000,1024000,,48321000,ann,2/28/2013,12,m,0,FALSE,141586000,4,4/24/2014,263150000,FALSE,541880000,660887000,315093000,2813660000,1368749000,985712000,1293499000,,302942000,1328817000,,1520161000,-816674000,02:26.3,1,2013,Technology
3,,FALSE,TRUE,-46269000,549217000,813515000,-123836000,-358860000,391883000,57890000,-70410000,-89600000,182841000,,23000,1087423,RHT,178548000,02:26.3,FALSE,USD,0001193125-14-157171,,,,199913000,-2600000,,,591563000,954555000,208009000,100638000,,,-171389000,,10-K,-93413000,146626000,146626000,FALSE,38640000,1629000,819000,,30649000,ann,2/29/2012,12,m,0,FALSE,92065000,4,4/24/2014,208662000,FALSE,391676000,545980000,245257000,2491099000,1221355000,826305000,1092282000,,255180000,1133103000,,1398817000,-696012000,02:26.3,1,2012,Technology
0,,FALSE,TRUE,-1020000000,4017000000,4017000000,734000000,-1896000000,1825000000,1531000000,,,,,4982000000,1451505,RIG,6179000000,02:26.3,FALSE,USD,0001451505-14-000031,,85000000,,-4750000000,,,,3217000000,1848000000,-5438000000,,-621000000,529000000,78000000,-10000000,10-K,663000000,-5754000000,-5754000000,FALSE,3491000000,672000000,2375000000,,1925000000,ann,12/31/2011,12,m,,FALSE,20788000000,4,2/27/2014,,FALSE,4180000000,288000000,7502000000,35032000000,7536000000,5528000000,19279000000,11349000000,2176000000,8027000000,2187000000,15637000000,-240000000,02:26.3,1,2011,Energy
0,,FALSE,TRUE,-141000000,1191300000,1819800000,-521800000,-483400000,1033300000,152500000,,-40800000,24400000,12900000,181400000,1024478,ROK,3869600000,02:30.1,FALSE,USD,0001024478-14-000031,,,-320500000,1183800000,-37700000,,,1050600000,2753900000,1134200000,246200000,-59300000,588400000,-257900000,,10-K,-9600000,826800000,826800000,TRUE,159900000,146700000,568800000,,205800000,ann,9/30/2014,12,m,,FALSE,632900000,4,11/18/2014,,FALSE,4839600000,1570100000,206500000,6229500000,3934200000,1692100000,3571400000,905600000,1215800000,6623500000,325000000,2658100000,-2927200000,02:30.1,1,2014,Industrials
