,Symbol,Sector
332,NOV,Energy
333,NRG,Utilities
334,NSC,Industrials
335,NTAP,Technology
336,NTRS,Financials
337,NUE,Basic Materials
338,NVDA,Technology
339,NWL,Non-Cyclical Consumer Goods & Services
340,NWS,None Found
341,NWSA,Cyclical Consumer Goods & Services
342,O,Financials
343,OI,Basic Materials
344,OKE,Utilities
345,OMC,Cyclical Consumer Goods & Services
346,ORCL,Technology
347,ORLY,Cyclical Consumer Goods & Services
348,OXY,Energy
349,PAYX,Industrials
350,PBCT,Financials
351,PBI,Technology
352,PCAR,Industrials
353,PCG,Utilities
354,PCL,Financials
355,PCLN,Cyclical Consumer Goods & Services
356,PCP,Industrials
357,PDCO,Healthcare
358,PEG,Utilities
359,PEP,Non-Cyclical Consumer Goods & Services
360,PFE,Healthcare
361,PFG,Financials
362,PG,Non-Cyclical Consumer Goods & Services
363,PGR,Financials
364,PH,None Found
365,PHM,Cyclical Consumer Goods & Services
366,PKI,Healthcare
367,PLD,Financials
368,PM,Non-Cyclical Consumer Goods & Services
369,PNC,Financials
370,PNR,None Found
371,PNW,Utilities
372,POM,Utilities
373,PPG,Basic Materials
374,PPL,Utilities
375,PRGO,None Found
376,PRU,Financials
377,PSA,Financials
378,PSX,Energy
379,PVH,Cyclical Consumer Goods & Services
380,PWR,Industrials
381,PX,Basic Materials
382,PXD,Energy
383,PYPL,Technology
384,QCOM,Technology
385,QRVO,Technology
386,R,Industrials
387,RAI,Non-Cyclical Consumer Goods & Services
388,RCL,Cyclical Consumer Goods & Services
389,REGN,Healthcare
390,RF,Financials
391,RHI,Industrials
392,RHT,Technology
393,RIG,Energy
394,RL,Cyclical Consumer Goods & Services
395,ROK,Industrials
396,ROP,Industrials
397,ROST,Cyclical Consumer Goods & Services
398,RRC,Energy
399,RSG,Industrials
400,RTN,Industrials
401,SBUX,Cyclical Consumer Goods & Services
402,SCG,Utilities
403,SCHW,Financials
404,SE,Energy
405,SEE,Basic Materials
406,SHW,Basic Materials
407,SIAL,Basic Materials
408,SIG,Cyclical Consumer Goods & Services
409,SJM,Non-Cyclical Consumer Goods & Services
410,SLB,Energy
411,SLG,Financials
412,SNA,Industrials
413,SNDK,Technology
414,SNI,Cyclical Consumer Goods & Services
415,SO,Utilities
416,SPG,Financials
417,SPLS,Cyclical Consumer Goods & Services
418,SRCL,Industrials
419,SRE,Utilities
420,STI,Financials
421,STJ,Healthcare
422,STT,Financials
423,STX,Technology
424,STZ,Non-Cyclical Consumer Goods & Services
425,SWK,Industrials
426,SWKS,Technology
427,SWN,Energy
428,SYK,Healthcare
429,SYMC,Technology
430,SYY,Non-Cyclical Consumer Goods & Services
431,T,Telecommunications Services
432,TAP,Non-Cyclical Consumer Goods & Services
433,TDC,Technology
434,TE,Utilities
435,TEL,Industrials
436,TGNA,Cyclical Consumer Goods & Services
437,TGT,Cyclical Consumer Goods & Services
438,THC,Healthcare
439,TIF,Cyclical Consumer Goods & Services
440,TJX,Cyclical Consumer Goods & Services
441,TMK,Financials
442,TMO,Healthcare
443,TRIP,Cyclical Consumer Goods & Services
444,TROW,Financials
445,TRV,Financials
446,TSCO,Cyclical Consumer Goods & Services
447,TSN,Non-Cyclical Consumer Goods & Services
448,TSO,Energy
449,TSS,Technology
450,TWC,Cyclical Consumer Goods & Services
451,TWX,Cyclical Consumer Goods & Services
452,TXN,Technology
453,TXT,Industrials
454,TYC,None Found
455,UA,Cyclical Consumer Goods & Services
456,UAL,Industrials
457,UHS,Healthcare
458,UNH,Healthcare
459,UNM,Financials
460,UNP,Industrials
461,UPS,Industrials
462,URBN,Cyclical Consumer Goods & Services
463,URI,Industrials
464,USB,Financials
465,UTX,Industrials
466,V,Industrials
467,VAR,Healthcare
468,VFC,Cyclical Consumer Goods & Services
469,VIAB,Cyclical Consumer Goods & Services
470,VLO,Energy
471,VMC,Basic Materials
472,VNO,Financials
473,VRSN,Technology
474,VRTX,Healthcare
475,VTR,Financials
476,VZ,Telecommunications Services
477,WAT,Healthcare
478,WBA,Non-Cyclical Consumer Goods & Services
479,WDC,Technology
480,WEC,Utilities
481,WFC,Financials
482,WFM,Non-Cyclical Consumer Goods & Services
483,WHR,Cyclical Consumer Goods & Services
484,WM,Industrials
485,WMB,Energy
486,WMT,Cyclical Consumer Goods & Services
487,WRK,Basic Materials
488,WU,Industrials
489,WY,Financials
490,WYN,Cyclical Consumer Goods & Services
491,WYNN,Cyclical Consumer Goods & Services
492,XEC,Energy
493,XEL,Utilities
494,XL,Financials
495,XLNX,Technology
496,XOM,Energy
497,XRAY,Healthcare
498,XRX,Industrials
499,XYL,Industrials
500,YHOO,Technology
501,YUM,Cyclical Consumer Goods & Services
502,ZBH,Healthcare
503,ZION,Financials
504,ZTS,Healthcare
